A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,class
M,A22,1893,HIGHWAY,,A2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,A11,1894,HIGHWAY,,A2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
M,A9,1895,HIGHWAY,2367.0,A2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
O,A48,1896,HIGHWAY,,A2,G,THROUGH,STEEL,LONG,F,SUSPEN
M,A7,1896,HIGHWAY,1040.0,A2,G,THROUGH,STEEL,LONG,F,ARCH
A,A37,1897,RR,4000.0,A2,G,DECK,STEEL,LONG,F,SIMPLE-T
M,A14,1897,RR,2264.0,,G,THROUGH,STEEL,,F,SIMPLE-T
M,A15,1898,RR,2000.0,A2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,A33,1900,HIGHWAY,1200.0,A2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,A38,1900,HIGHWAY,2000.0,A2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,A13,1901,RR,,A2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
A,A34,1902,HIGHWAY,1850.0,A2,G,THROUGH,STEEL,MEDIUM,F,CANTILEV
M,A16,1903,RR,1300.0,A2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
A,A35,1903,RR,3000.0,A2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
M,A6,1903,RR,1417.0,A2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,A21,1903,RR,1154.0,,G,THROUGH,STEEL,LONG,F,SIMPLE-T
M,A4,1904,RR,1200.0,A2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
A,A28,1904,RR,965.0,A4,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
M,A2,1904,RR,1504.0,,G,THROUGH,STEEL,LONG,F,CANTILEV
Y,,1908,HIGHWAY,1240.0,,G,,STEEL,MEDIUM,F,SIMPLE-T
M,A23,1909,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,A36,1909,HIGHWAY,1730.0,A2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
O,A49,1910,RR,1620.0,A2,G,THROUGH,STEEL,LONG,F,CANTILEV
O,A43,1911,HIGHWAY,1652.0,A2,G,THROUGH,STEEL,LONG,F,CANTILEV
M,A10,1914,RR,2210.0,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
O,A41,1915,RR,2822.0,A2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
A,A24,1915,HIGHWAY,1000.0,A4,G,THROUGH,STEEL,LONG,F,SIMPLE-T
A,A37,1918,RR,2300.0,A2,N,DECK,STEEL,LONG,F,CONT-T
A,A31,1920,RR,2122.0,A2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
A,A30,1921,WALK,,,G,THROUGH,STEEL,,F,SUSPEN
A,A29,1923,HIGHWAY,885.0,A4,G,THROUGH,STEEL,MEDIUM,F,ARCH
A,A32,1924,HIGHWAY,2365.0,A4,G,THROUGH,STEEL,MEDIUM,S,ARCH
A,A27,1926,HIGHWAY,860.0,A4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
A,A26,1926,HIGHWAY,884.0,A4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
O,A46,1927,HIGHWAY,1770.0,A2,G,THROUGH,STEEL,LONG,S-F,CANTILEV
A,A38,1927,HIGHWAY,1508.0,,G,THROUGH,STEEL,MEDIUM,S,ARCH
M,A5,1927,HIGHWAY,2663.0,A4,N,DECK,STEEL,MEDIUM,S-F,CANTILEV
M,A1,1927,HIGHWAY,1330.0,A4,G,THROUGH,STEEL,LONG,F,CANTILEV
A,A30,1928,HIGHWAY,2678.0,A4,G,DECK,STEEL,MEDIUM,F,ARCH
M,A20,1928,HIGHWAY,2220.0,A2,G,DECK,STEEL,MEDIUM,S-F,CANTILEV
A,A25,1928,HIGHWAY,860.0,A4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
M,A17,1928,HIGHWAY,2250.0,A2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
O,A40,1931,HIGHWAY,1365.0,A4,G,THROUGH,STEEL,LONG,F,ARCH
O,A42,1931,HIGHWAY,1450.0,A4,N,THROUGH,STEEL,LONG,F,ARCH
M,A6,1931,HIGHWAY,1500.0,A4,G,THROUGH,STEEL,LONG,F,SUSPEN
M,A11,1937,HIGHWAY,1690.0,A4,N,DECK,STEEL,LONG,S-F,CONT-T
A,A34,1939,HIGHWAY,1800.0,A4,G,DECK,STEEL,MEDIUM,F,CANTILEV
A,A39.5,1945,HIGHWAY,1060.0,A4,G,DECK,STEEL,MEDIUM,S-F,CONT-T
A,A39.7,1945,RR,840.0,A2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
A,A38.5,1945,HIGHWAY,1710.0,A2,N,DECK,STEEL,MEDIUM,S-F,CONT-T
O,A48,1945,HIGHWAY,2160.0,A2,G,THROUGH,STEEL,LONG,F,CANTILEV
Y,A52,1945,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,S,ARCH
Y,A51,1945,RR,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,A23,1950,HIGHWAY,1320.0,A2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
M,A22,1951,HIGHWAY,900.0,A4,G,THROUGH,STEEL,MEDIUM,F,CONT-T
M,A14,1951,HIGHWAY,2423.0,A4,G,DECK,STEEL,LONG,F,CONT-T
M,A19,1951,HIGHWAY,1031.0,A4,G,THROUGH,STEEL,LONG,F,CANTILEV
A,A37,1955,HIGHWAY,2300.0,A4,N,DECK,STEEL,LONG,F,CONT-T
O,A42,1955,HIGHWAY,804.0,,G,THROUGH,STEEL,,F,SIMPLE-T
O,A47,1959,HIGHWAY,1700.0,A2,G,THROUGH,STEEL,LONG,F,CONT-T
M,A1,1959,HIGHWAY,1000.0,A6,G,THROUGH,STEEL,LONG,F,ARCH
A,A33,1961,HIGHWAY,980.0,A4,G,DECK,STEEL,MEDIUM,S-F,CONT-T
M,A9,1962,HIGHWAY,2213.0,A4,G,DECK,STEEL,LONG,F,CONT-T
A,A24,1969,HIGHWAY,870.0,A6,G,THROUGH,STEEL,MEDIUM,F,ARCH
O,A44,1975,HIGHWAY,3756.0,A6,G,THROUGH,STEEL,LONG,F,ARCH
M,A7,1978,HIGHWAY,950.0,A6,G,THROUGH,STEEL,LONG,F,ARCH
