asdf,sj,sjg,bnx,zsghj,shm,shj,dmn,ul,xlj,sghk,syi,shk,sjglk,ldc,suo,shkj,lkhdf,syi1,sjfhg,le,dlu,sk,lud,slk,dlj,duyl,class
1,1,527365,38.4,80,30,4,3,1,1,3,3,3,3,3,2.0,4,5,32.0,6.1,3,4.3,1,1,7209,0,0,1
1,1,5299603,38.3,60,16,3,1,1,1,2,1,1,2,2,3.0,1,4,30.0,6.0,1,3.0,1,1,31110,0,0,2
1,1,528742,37.1,40,8,3,1,4,1,3,3,1,1,1,2.0,3,3,23.0,6.7,3,2.0,1,1,3133,0,0,1
1,1,529373,38.0,60,48,3,3,4,2,4,3,4,2,1,2.0,4,5,58.0,7.6,2,2.0,2,1,3205,0,0,2
2,1,529628,38.5,60,20,1,1,5,2,2,2,1,2,1,2.0,2,3,63.0,7.5,2,2.3,3,2,300,0,0,1
2,1,521399,38.5,96,36,3,3,1,2,2,4,2,1,2,2.0,4,5,70.0,8.5,2,2.0,2,1,1400,0,0,1
1,1,528047,37.3,48,12,1,1,3,1,3,1,3,2,1,2.0,3,3,40.0,6.6,2,2.0,1,1,3205,0,0,1
1,1,528641,38.5,86,20,1,1,3,1,4,4,3,2,1,2.0,3,5,45.0,7.4,1,3.4,2,1,3209,0,0,1
1,1,529528,39.2,48,23,3,1,3,1,4,4,2,2,1,2.0,4,5,36.0,6.6,1,3.0,1,1,3115,0,0,1
1,1,535137,38.5,96,30,2,3,4,2,4,4,3,2,1,2.0,3,5,50.0,65.0,2,2.0,1,1,6111,3112,0,2
1,1,530401,37.9,68,20,3,1,2,1,2,4,2,2,1,2.0,1,5,45.0,4.0,3,2.8,2,1,5400,0,0,1
1,1,529893,38.0,86,24,4,3,4,1,2,4,4,1,1,2.0,4,5,45.0,5.5,1,10.1,2,1,3111,0,0,1
1,1,528183,37.6,45,12,3,1,3,1,3,2,2,2,1,2.0,1,4,39.0,7.0,2,1.5,1,1,2112,0,0,1
2,1,529183,38.6,56,32,2,1,1,1,1,1,1,2,1,2.0,2,5,40.0,7.0,2,2.1,1,2,0,0,0,1
1,1,529135,37.8,40,12,1,1,1,1,1,2,1,2,1,2.0,1,2,38.0,7.0,2,2.0,1,1,3111,0,0,2
1,1,5279441,38.0,76,18,3,1,1,2,3,3,1,2,1,2.0,4,5,71.0,11.0,2,2.0,1,1,2209,0,0,1
1,1,529736,38.0,52,28,3,3,4,1,3,4,3,2,1,2.0,4,4,37.0,8.1,2,2.0,1,1,2111,0,0,2
1,1,528800,38.0,112,13,4,4,4,1,2,3,1,2,1,4.5,4,4,60.0,6.3,3,2.0,1,1,2205,0,0,1
1,1,528178,37.7,66,12,1,1,3,1,3,3,2,2,1,2.0,4,4,31.5,6.2,2,1.6,1,1,2208,0,0,1
2,1,528931,38.4,54,24,1,1,1,1,1,3,1,2,1,2.0,3,2,49.0,7.2,1,8.0,1,2,3111,0,0,1
1,9,5289419,38.0,48,20,3,1,1,1,3,3,1,2,1,2.0,4,5,45.0,6.5,2,2.0,1,1,9000,0,0,1
1,1,530526,38.3,72,30,4,3,3,2,3,3,3,2,1,2.0,3,5,43.0,7.0,2,3.9,1,1,3113,0,0,1
2,1,528729,37.5,48,30,4,1,3,1,3,2,1,1,1,2.0,1,1,48.0,8.6,2,2.0,1,2,400,0,0,2
1,1,528469,38.1,52,24,1,1,5,1,4,3,1,2,3,7.0,1,5,54.0,7.5,2,2.6,2,1,2206,0,0,1
2,1,528702,36.1,88,20,3,3,3,1,3,3,2,2,3,2.0,4,4,45.0,7.0,3,4.8,3,1,2209,0,0,1
1,1,529160,38.0,90,30,4,3,4,2,5,4,4,2,1,2.0,4,5,55.0,6.1,2,2.0,2,1,3205,0,0,2
1,1,529045,38.2,52,16,1,1,2,1,1,2,1,1,1,2.0,1,5,43.0,8.1,2,2.0,1,2,0,0,0,1
1,1,5281091,38.4,92,20,1,1,1,2,3,3,3,2,1,2.0,1,5,37.0,6.5,2,2.0,1,1,2208,0,0,1
1,9,5291409,38.2,124,88,1,3,2,1,2,3,4,2,1,2.0,4,5,47.0,8.0,1,2.0,1,1,9400,0,0,1
1,1,530366,37.6,68,32,3,1,3,1,4,2,4,2,2,6.5,1,5,47.0,7.2,1,2.0,1,1,3209,0,0,2
1,1,530170,38.1,88,24,3,3,4,1,5,4,3,2,1,2.0,3,4,41.0,4.6,2,2.0,2,1,2209,0,0,2
2,1,528169,38.2,48,20,2,1,1,2,3,3,1,2,1,2.0,4,2,34.0,6.6,2,2.0,1,2,3111,0,0,2
1,1,535043,39.3,100,51,4,4,6,1,2,4,1,1,3,2.0,4,4,66.0,13.0,3,2.0,3,1,2113,0,0,2
1,9,5291719,38.8,124,36,3,1,2,1,2,3,4,1,1,2.0,4,4,50.0,7.6,3,2.0,2,1,2208,0,0,1
2,1,530561,38.0,112,24,3,3,4,2,5,4,2,2,1,2.0,4,5,40.0,5.3,3,2.6,1,2,400,0,0,1
1,1,529812,38.7,96,28,3,3,4,1,3,4,1,2,3,7.5,4,5,64.0,9.0,2,2.0,2,1,2205,0,0,1
1,1,527734,40.8,72,42,3,3,1,1,2,3,1,2,1,2.0,4,5,54.0,7.4,3,2.0,2,1,11400,0,0,1
2,1,534933,38.0,40,25,3,1,1,1,4,3,2,1,1,2.0,4,5,37.0,69.0,2,2.0,1,2,0,0,0,2
2,1,529296,38.4,48,16,2,1,1,1,1,3,2,2,1,2.0,4,2,39.0,6.5,2,2.0,1,2,3111,0,0,1
1,1,528743,37.1,75,36,3,1,3,2,4,4,2,2,3,5.0,4,4,48.0,7.4,3,3.2,2,1,12208,0,0,1
1,1,530478,38.3,44,21,3,1,2,1,3,3,3,2,1,2.0,1,5,44.0,6.5,2,4.4,1,1,2209,0,0,1
2,1,529865,38.6,68,20,2,1,3,1,3,3,2,1,1,2.0,1,5,38.0,6.5,1,2.0,1,2,5124,0,0,1
2,1,527829,38.3,54,18,3,1,2,1,2,3,2,2,3,5.4,4,4,44.0,7.2,3,2.0,1,2,2124,0,0,1
1,1,528638,37.7,120,28,3,3,3,1,5,3,3,1,1,2.0,4,5,65.0,7.0,3,2.0,2,1,4205,0,0,1
2,1,528620,36.9,50,40,2,3,3,1,1,3,2,3,1,7.0,4,5,37.5,6.5,2,2.0,1,2,3111,0,0,2
2,1,529172,38.2,56,40,4,3,1,1,2,4,3,2,2,7.5,4,5,47.0,7.2,1,2.5,1,2,8300,0,0,1
2,1,530624,40.0,78,20,3,3,5,1,2,3,1,1,1,2.0,4,1,66.0,6.5,2,2.0,2,1,8400,0,0,1
2,1,530439,38.5,54,20,1,1,1,1,3,1,1,2,1,2.0,1,5,40.0,6.8,2,7.0,1,2,0,0,0,1
1,1,5283431,38.5,66,24,1,1,1,1,3,3,1,2,1,2.0,4,5,40.0,6.7,1,2.0,1,1,31110,0,0,1
1,1,529126,38.0,50,36,3,1,1,1,3,2,2,2,1,2.0,3,5,39.0,6.6,1,5.3,1,1,8400,0,0,1
2,1,535054,38.6,45,16,2,1,2,1,1,1,1,2,1,2.0,1,1,43.0,58.0,2,2.0,1,2,0,0,0,2
2,1,527702,37.2,72,24,3,2,4,2,4,3,3,3,1,2.0,4,4,44.0,6.5,3,3.3,3,1,2208,0,0,1
1,1,530612,36.5,100,24,3,3,3,1,3,3,3,3,1,2.0,4,4,50.0,6.0,3,3.4,1,1,2208,0,0,1
