A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,class
A,39.5,MODERN,HIGHWAY,MEDIUM,4.0,G,DECK,STEEL,MEDIUM,S-F,CONT-T
A,39.7,MODERN,RR,SHORT,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
A,38.5,MODERN,HIGHWAY,MEDIUM,2.0,N,DECK,STEEL,MEDIUM,S-F,CONT-T
O,48.0,MODERN,HIGHWAY,LONG,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
Y,52.0,MODERN,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,S,ARCH
Y,51.0,MODERN,RR,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
M,23.0,MODERN,HIGHWAY,MEDIUM,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
M,22.0,MODERN,HIGHWAY,SHORT,4.0,G,THROUGH,STEEL,MEDIUM,F,CONT-T
M,14.0,MODERN,HIGHWAY,LONG,4.0,G,DECK,STEEL,LONG,F,CONT-T
M,19.0,MODERN,HIGHWAY,MEDIUM,4.0,G,THROUGH,STEEL,LONG,F,CANTILEV
A,37.0,MODERN,HIGHWAY,LONG,4.0,N,DECK,STEEL,LONG,F,CONT-T
O,42.0,MODERN,HIGHWAY,SHORT,,G,THROUGH,STEEL,,F,SIMPLE-T
O,47.0,MODERN,HIGHWAY,MEDIUM,2.0,G,THROUGH,STEEL,LONG,F,CONT-T
M,1.0,MODERN,HIGHWAY,MEDIUM,6.0,G,THROUGH,STEEL,LONG,F,ARCH
A,33.0,MODERN,HIGHWAY,SHORT,4.0,G,DECK,STEEL,MEDIUM,S-F,CONT-T
M,9.0,MODERN,HIGHWAY,LONG,4.0,G,DECK,STEEL,LONG,F,CONT-T
A,24.0,MODERN,HIGHWAY,SHORT,6.0,G,THROUGH,STEEL,MEDIUM,F,ARCH
O,44.0,MODERN,HIGHWAY,LONG,6.0,G,THROUGH,STEEL,LONG,F,ARCH
M,7.0,MODERN,HIGHWAY,SHORT,6.0,G,THROUGH,STEEL,LONG,F,ARCH
